name,taxonomy,imageURL,details,temprange,details,phRange,tank size,fish size (cm/inches),fish compatibility,detailsUrl
African snakehead,Parachanna obscura,https://upload.wikimedia.org//wikipedia/commons/f/fd/Parachanna_obscura_-_Aqua_Porte_Dor%C3%A9e_11.JPG,"The African snakehead features a long, cylindrical body covered in a pattern of large, dark, mottled blotches that provide perfect camouflage against riverbank debris. Native to the river basins of West and Central Africa, they can reach lengths of 14 to 18 inches and require a 75-gallon tank with plenty of hiding spots made of large driftwood and pipework. Their temperament is shy and nocturnal, often spending the daylight hours hidden before becoming an efficient ambush predator at night. They are not suitable for community tanks and are best kept alone or with very large, non-aggressive African species like larger Catfish.",25–30 degrees celsius,"The African snakehead features a long, cylindrical body covered in a pattern of large, dark, mottled blotches that provide perfect camouflage against riverbank debris. Native to the river basins of West and Central Africa, they can reach lengths of 14 to 18 inches and require a 75-gallon tank with plenty of hiding spots made of large driftwood and pipework. Their temperament is shy and nocturnal, often spending the daylight hours hidden before becoming an efficient ambush predator at night. They are not suitable for community tanks and are best kept alone or with very large, non-aggressive African species like larger Catfish.",6.0 - 7.5,250 – 500+ gallons,"30.0 - 45.0 cm / 11.8 - 17.7""","Highly Predatory; active and aggressive; requires a large, specialized setup with other similarly sized predators.",https://en.wikipedia.org//wiki/Parachanna_obscura
Red rainbowfish,Glossolepis incisus,https://upload.wikimedia.org//wikipedia/commons/2/24/GlossolepisIncisus.JPG,"The Red rainbowfish is a stunning centerpiece fish where mature males develop a deep, fiery crimson-red color and a distinctively high-backed body shape. They are endemic to Lake Sentani in West Papua and require a 55-gallon tank with hard, alkaline water and plenty of swimming room to accommodate their active nature. Their temperament is peaceful and highly social, thriving best in schools of six or more where males will ""flash"" their colors to impress females. They are highly compatible with other medium-sized community fish and add a massive burst of color to any well-lit, planted aquarium.",22–28 degrees celsius,"The Red rainbowfish is a stunning centerpiece fish where mature males develop a deep, fiery crimson-red color and a distinctively high-backed body shape. They are endemic to Lake Sentani in West Papua and require a 55-gallon tank with hard, alkaline water and plenty of swimming room to accommodate their active nature. Their temperament is peaceful and highly social, thriving best in schools of six or more where males will ""flash"" their colors to impress females. They are highly compatible with other medium-sized community fish and add a massive burst of color to any well-lit, planted aquarium.",6.0 - 7.5,125 – 180 gallons,"10.0 - 15.0 cm / 3.9 - 5.9""","Peaceful; very active and social, they are ideal schooling fish for most standard community aquariums.",https://en.wikipedia.org//wiki/Glossolepis_incisus
Lake Wanam rainbowfish,Glossolepis wanamensis,https://upload.wikimedia.org//wikipedia/commons/d/dc/Glossolepis_wanamensis.jpg,"The Lake Wanam rainbowfish is an increasingly rare species in the wild, prized for its unique greenish-bronze body and the brilliant rosy-red flush that appears on the lower half of dominant males. They require a 40-to-55-gallon setup with stable water parameters and frequent water changes to thrive. Their temperament is peaceful and active, and they spend most of their time in the upper and middle layers of the water column. They are compatible with other Rainbowfish and peaceful community residents, and they benefit greatly from a diet rich in carotenoids to maintain their subtle color highlights.",25–30 degrees celsius,"The Lake Wanam rainbowfish is an increasingly rare species in the wild, prized for its unique greenish-bronze body and the brilliant rosy-red flush that appears on the lower half of dominant males. They require a 40-to-55-gallon setup with stable water parameters and frequent water changes to thrive. Their temperament is peaceful and active, and they spend most of their time in the upper and middle layers of the water column. They are compatible with other Rainbowfish and peaceful community residents, and they benefit greatly from a diet rich in carotenoids to maintain their subtle color highlights.",7.0 - 8.0,125 – 180 gallons,"8.0 - 12.0 cm / 3.1 - 4.7""","Peaceful; a rare and beautiful rainbowfish that thrives in schools with other peaceful, active neighbors.",https://en.wikipedia.org//wiki/Glossolepis_wanamensis
Threadfin rainbowfish,Iriatherina werneri,https://upload.wikimedia.org//wikipedia/commons/a/ad/Iriatherina_Werneri-Yellow_Finned_Male.jpg,"The Threadfin rainbowfish is a delicate, ""nano"" species famous for the incredibly long, feather-like fin extensions found on the males. They reach only about 2 inches in size and are perfect for a 15-to-20-gallon planted aquarium with very gentle water flow to avoid damaging their fins. Their temperament is exceptionally peaceful and shy, meaning they should only be kept with other tiny, non-nippy species like Blue-eyes or freshwater shrimp. They are tight schoolers that display spectacular ""flicking"" behaviors with their fins when competing for the attention of females.",23–28 degrees celsius,"The Threadfin rainbowfish is a delicate, ""nano"" species famous for the incredibly long, feather-like fin extensions found on the males. They reach only about 2 inches in size and are perfect for a 15-to-20-gallon planted aquarium with very gentle water flow to avoid damaging their fins. Their temperament is exceptionally peaceful and shy, meaning they should only be kept with other tiny, non-nippy species like Blue-eyes or freshwater shrimp. They are tight schoolers that display spectacular ""flicking"" behaviors with their fins when competing for the attention of females.",7.0 - 8.0,30 – 55 gallons,"4.0 - 5.0 cm / 1.6 - 2.0""","Peaceful; small and delicate, they are best kept in schools with other tiny, non-aggressive community species.",https://en.wikipedia.org//wiki/Iriatherina_werneri
New Guinea rainbowfish,Melanotaenia affinis,,"The New Guinea rainbowfish is a hardy and adaptable species featuring a silver-to-gold body with a dark mid-lateral stripe and fins that can range from yellow to red depending on the specific collection locality. They inhabit a wide variety of environments from fast streams to stagnant pools and require at least a 30-to-40-gallon tank. Their temperament is active and social, making them an excellent choice for a community aquarium. They are highly compatible with almost any peaceful fish of a similar size and are known for being one of the easier rainbowfish to care for and breed.",24–30 degrees celsius,"The New Guinea rainbowfish is a hardy and adaptable species featuring a silver-to-gold body with a dark mid-lateral stripe and fins that can range from yellow to red depending on the specific collection locality. They inhabit a wide variety of environments from fast streams to stagnant pools and require at least a 30-to-40-gallon tank. Their temperament is active and social, making them an excellent choice for a community aquarium. They are highly compatible with almost any peaceful fish of a similar size and are known for being one of the easier rainbowfish to care for and breed.",6.0 - 7.5,30 – 55 gallons,"8.0 - 10.0 cm / 3.1 - 3.9""",Peaceful; a hardy and colorful species that is very social and gets along with most community fish.,
Western rainbowfish,Melanotaenia australis,https://upload.wikimedia.org//wikipedia/commons/d/da/300_Melanotaenia_australis_Western_rainbowfish_Mitchell_River_NP_VIII-2013.jpg,"The Western rainbowfish is a highly variable species from Australia, typically displaying a shimmering silver-blue body with two distinct dark lines along the sides and reddish-orange fins. They are very active swimmers that require a 40-gallon tank with a tight-fitting lid, as they are prone to jumping when excited. Their temperament is peaceful and they thrive in a group, where they will constantly interact and ""play"" in the current. They are highly compatible with other Australian natives and larger tetras.",20–30 degrees celsius,"The Western rainbowfish is a highly variable species from Australia, typically displaying a shimmering silver-blue body with two distinct dark lines along the sides and reddish-orange fins. They are very active swimmers that require a 40-gallon tank with a tight-fitting lid, as they are prone to jumping when excited. Their temperament is peaceful and they thrive in a group, where they will constantly interact and ""play"" in the current. They are highly compatible with other Australian natives and larger tetras.",7.0 - 8.0,15 – 20 gallons,"8.0 - 12.0 cm / 3.1 - 4.7""","Peaceful; active and easy-going, they are great for beginners and compatible with many other species.",
Boeseman's rainbowfish,Melanotaenia boesemani,https://upload.wikimedia.org//wikipedia/commons/1/1b/Sunny1.jpg,"Boeseman's rainbowfish is perhaps the most iconic rainbowfish, known for its ""half-and-half"" coloration where the front of the fish is a brilliant blue and the back half is a fiery orange-yellow. They require a 55-gallon tank and, most importantly, very hard, alkaline water to display their best colors. Their temperament is peaceful and energetic, and they are most active during the morning hours. They are highly compatible with other active community fish and are a favorite for large, high-tech planted displays.",21–30 degrees celsius,"Boeseman's rainbowfish is perhaps the most iconic rainbowfish, known for its ""half-and-half"" coloration where the front of the fish is a brilliant blue and the back half is a fiery orange-yellow. They require a 55-gallon tank and, most importantly, very hard, alkaline water to display their best colors. Their temperament is peaceful and energetic, and they are most active during the morning hours. They are highly compatible with other active community fish and are a favorite for large, high-tech planted displays.",7.0 - 8.0,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""",Peaceful; an iconic rainbowfish known for its stunning half-and-half color; very social and peaceful.,https://en.wikipedia.org//wiki/Melanotaenia_boesemani
Duboulayi's rainbowfish,Melanotaenia duboulayi,https://upload.wikimedia.org//wikipedia/commons/6/62/M_duboulayi.jpg,"Also known as the Crimson-spotted rainbowfish, this species features a silver-green body with a prominent red spot on the gill cover and intricate red patterning on the fins. They are very hardy and can tolerate cooler temperatures than many other tropical species, making them suitable for unheated indoor tanks of 30 to 40 gallons. Their temperament is peaceful and schooling, and they are excellent at keeping a tank lively with their constant motion. They are highly compatible with other temperate species and are valued for their natural, wild appearance.",22–28 degrees celsius,"Also known as the Crimson-spotted rainbowfish, this species features a silver-green body with a prominent red spot on the gill cover and intricate red patterning on the fins. They are very hardy and can tolerate cooler temperatures than many other tropical species, making them suitable for unheated indoor tanks of 30 to 40 gallons. Their temperament is peaceful and schooling, and they are excellent at keeping a tank lively with their constant motion. They are highly compatible with other temperate species and are valued for their natural, wild appearance.",7.0 - 8.0,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""","Peaceful; active and robust, they get along well with other medium-sized, energetic community dwellers.",
Australian rainbowfish,Melanotaenia fluviatilis,https://upload.wikimedia.org//wikipedia/commons/3/34/Australian_rainbow.jpg,"The Australian rainbowfish, or Murray River rainbowfish, is a robust species with a silvery-green body that takes on a brilliant turquoise sheen under the right lighting. Like the Duboulayi, they are very cold-tolerant and require a 40-gallon tank with plenty of open swimming space. Their temperament is peaceful and they are known for their longevity and hardiness. They are highly compatible with a wide range of tank mates and are an ideal choice for beginners looking to enter the world of rainbowfish.",20–28 degrees celsius,"The Australian rainbowfish, or Murray River rainbowfish, is a robust species with a silvery-green body that takes on a brilliant turquoise sheen under the right lighting. Like the Duboulayi, they are very cold-tolerant and require a 40-gallon tank with plenty of open swimming space. Their temperament is peaceful and they are known for their longevity and hardiness. They are highly compatible with a wide range of tank mates and are an ideal choice for beginners looking to enter the world of rainbowfish.",7.0 - 8.0,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""",Peaceful; a classic community fish that is very hardy and social; best kept in groups of six or more.,
Lake Tebera rainbowfish,Melanotaenia herbertaxelrodi,https://upload.wikimedia.org//wikipedia/commons/b/b4/Regenbogenfisch_im_Zooaquarium_Berlin.jpg,"The Lake Tebera rainbowfish is a stunning species featuring a solid, vibrant yellow body with a bold black horizontal stripe running through the middle. They require a 40-to-55-gallon tank and prefer slightly softer, more acidic water than many of their cousins, reflecting their highland lake origin. Their temperament is peaceful and social, and they are particularly striking when kept in a school against a dark background. They are highly compatible with other rainbowfish and mid-sized community species.",20–30 degrees celsius,"The Lake Tebera rainbowfish is a stunning species featuring a solid, vibrant yellow body with a bold black horizontal stripe running through the middle. They require a 40-to-55-gallon tank and prefer slightly softer, more acidic water than many of their cousins, reflecting their highland lake origin. Their temperament is peaceful and social, and they are particularly striking when kept in a school against a dark background. They are highly compatible with other rainbowfish and mid-sized community species.",7.0 - 8.0,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""",Peaceful; a beautiful and active species that thrives in schools alongside other peaceful tankmates.,https://en.wikipedia.org//wiki/Melanotaenia_herbertaxelrodi
Lake Kutubu rainbowfish,Melanotaenia lacustris,https://upload.wikimedia.org//wikipedia/commons/3/3b/Melanotaenia_lacustris_thomnight_001.jpg,"Commonly called the Turquoise rainbowfish, this species is famous for its intense, cobalt-blue-to-turquoise coloration that seems to glow from within. They are deep-bodied fish that require a 55-gallon tank with hard water and high oxygen levels. Their temperament is peaceful but they are very fast swimmers, so they should not be kept with overly slow or nervous fish. They are highly compatible with other active species and are a top choice for hobbyists wanting a ""pop"" of blue in their aquarium.",21–26 degrees celsius,"Commonly called the Turquoise rainbowfish, this species is famous for its intense, cobalt-blue-to-turquoise coloration that seems to glow from within. They are deep-bodied fish that require a 55-gallon tank with hard water and high oxygen levels. Their temperament is peaceful but they are very fast swimmers, so they should not be kept with overly slow or nervous fish. They are highly compatible with other active species and are a top choice for hobbyists wanting a ""pop"" of blue in their aquarium.",7.0 - 8.0,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""","Peaceful; similar to other lake-dwelling rainbows, they are social and prefer well-oxygenated, clean water.",https://en.wikipedia.org//wiki/Melanotaenia_lacustris
Lake Kurumoi rainbowfish,Melanotaenia parva,https://upload.wikimedia.org//wikipedia/commons/3/37/Melanotaenia_parva_male.jpg,"The Lake Kurumoi rainbowfish is a smaller, more intensely colored species where males develop a deep, sunset-orange or mauve body with dark fin edges. They reach about 3 to 4 inches and are well-suited for a 30-gallon planted aquarium. Their temperament is peaceful and they are known for being slightly more reclusive than the larger Melanotaenia species, appreciating plenty of plant cover. They are highly compatible with other small rainbowfish and look magnificent when their colors are intensified by a high-quality, varied diet.",24–30 degrees celsius,"The Lake Kurumoi rainbowfish is a smaller, more intensely colored species where males develop a deep, sunset-orange or mauve body with dark fin edges. They reach about 3 to 4 inches and are well-suited for a 30-gallon planted aquarium. Their temperament is peaceful and they are known for being slightly more reclusive than the larger Melanotaenia species, appreciating plenty of plant cover. They are highly compatible with other small rainbowfish and look magnificent when their colors are intensified by a high-quality, varied diet.",7.0 - 8.5,30 – 55 gallons,"8.0 - 10.0 cm / 3.1 - 3.9""","Peaceful; a smaller, active species that is perfect for planted tanks with other calm community fish.",https://en.wikipedia.org//wiki/Melanotaenia_parva
Neon rainbowfish,Melanotaenia praecox,https://upload.wikimedia.org//wikipedia/commons/9/9d/Dwarf_neon_rainbows.jpg,"The Neon rainbowfish, also known as the Dwarf Neon, is a highly popular species prized for its brilliant, shimmering metallic blue scales and contrasting deep red fins. They stay relatively small compared to their cousins, reaching only about 2.5 to 3 inches, making them an excellent choice for a 20-to-30-gallon planted aquarium. Their temperament is peaceful and incredibly social; they are tight schoolers that look most impressive when kept in groups of eight or more. They are highly compatible with other peaceful community fish and are known for being more adaptable to slightly softer water than some other rainbowfish species.",22–28 degrees celsius,"The Neon rainbowfish, also known as the Dwarf Neon, is a highly popular species prized for its brilliant, shimmering metallic blue scales and contrasting deep red fins. They stay relatively small compared to their cousins, reaching only about 2.5 to 3 inches, making them an excellent choice for a 20-to-30-gallon planted aquarium. Their temperament is peaceful and incredibly social; they are tight schoolers that look most impressive when kept in groups of eight or more. They are highly compatible with other peaceful community fish and are known for being more adaptable to slightly softer water than some other rainbowfish species.",7.0 - 8.0,30 – 55 gallons,"4.0 - 5.0 cm / 1.6 - 2.0""",Peaceful; very popular for their bright neon color and active nature; compatible with most small fish.,https://en.wikipedia.org//wiki/Melanotaenia_praecox
Eastern rainbowfish,Melanotaenia splendida splendida,https://upload.wikimedia.org//wikipedia/commons/a/a1/Eastern_Rainbowfish_01.jpg,"The Eastern rainbowfish is a robust and highly variable species from Australia that serves as a classic representative of the genus. They feature a silvery-green body with checkered patterns of red and yellow on their fins, which can become incredibly intense in mature, dominant males. They require at least a 40-to-55-gallon tank to accommodate their powerful swimming and active social structure. Their temperament is peaceful but energetic, and they thrive in a well-oxygenated environment with a mix of open swimming space and dense peripheral planting.",20–28 degrees celsius,"The Eastern rainbowfish is a robust and highly variable species from Australia that serves as a classic representative of the genus. They feature a silvery-green body with checkered patterns of red and yellow on their fins, which can become incredibly intense in mature, dominant males. They require at least a 40-to-55-gallon tank to accommodate their powerful swimming and active social structure. Their temperament is peaceful but energetic, and they thrive in a well-oxygenated environment with a mix of open swimming space and dense peripheral planting.",6.5 - 7.5,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""",Peaceful; a hardy and active schooling fish that is a great addition to any peaceful community tank.,https://en.wikipedia.org//wiki/Melanotaenia_splendida_splendida
Banded rainbowfish,Melanotaenia trifasciata,https://upload.wikimedia.org//wikipedia/commons/3/3b/Banded_rainbowfish_Melanotaenia_trifasciata.jpg,"The Banded rainbowfish is famous for the dark mid-lateral stripe that splits its body, often accented by intense red, gold, or blue hues depending on the specific river system it originates from. They are large, deep-bodied fish that can reach 5 inches and require a 55-gallon aquarium to feel secure. Their temperament is peaceful and they are known for their spectacular morning spawning displays, where males flare their fins and ""dance"" to attract mates. They are highly compatible with other large, active schooling fish and are valued for their impressive size and longevity.",22–28 degrees celsius,"The Banded rainbowfish is famous for the dark mid-lateral stripe that splits its body, often accented by intense red, gold, or blue hues depending on the specific river system it originates from. They are large, deep-bodied fish that can reach 5 inches and require a 55-gallon aquarium to feel secure. Their temperament is peaceful and they are known for their spectacular morning spawning displays, where males flare their fins and ""dance"" to attract mates. They are highly compatible with other large, active schooling fish and are valued for their impressive size and longevity.",7.0 - 8.0,20 – 30 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""","Peaceful; social and lively, they are best kept in schools to bring out their best colors and behaviors.",https://en.wikipedia.org//wiki/Melanotaenia_trifasciata
Celebes rainbow,Marosatherina ladigesi,https://upload.wikimedia.org//wikipedia/commons/1/1d/Marosatherina_ladigesi.jpg,"The Celebes rainbow is a unique, slender species featuring translucent yellowish scales and two distinct, separated dorsal fins that give it a ""double-finned"" appearance. They are native to the hard-water streams of Sulawesi and require an aquarium with high alkalinity and plenty of aeration to mimic their natural habitat. Their temperament is peaceful and somewhat shy, meaning they should not be kept with overly boisterous or nippy tank mates. They are highly compatible with other calm, hard-water species and look stunning when their subtle neon-blue highlights catch the light.",20–30 degrees celsius,"The Celebes rainbow is a unique, slender species featuring translucent yellowish scales and two distinct, separated dorsal fins that give it a ""double-finned"" appearance. They are native to the hard-water streams of Sulawesi and require an aquarium with high alkalinity and plenty of aeration to mimic their natural habitat. Their temperament is peaceful and somewhat shy, meaning they should not be kept with overly boisterous or nippy tank mates. They are highly compatible with other calm, hard-water species and look stunning when their subtle neon-blue highlights catch the light.",7.0 - 8.0,30 – 55 gallons,"6.0 - 8.0 cm / 2.4 - 3.1""","Peaceful; a specialized rainbowfish that prefers slightly harder water and peaceful, active neighbors.",https://en.wikipedia.org//wiki/Marosatherina_ladigesi
Forktail blue-eye,Pseudomugil furcatus,https://upload.wikimedia.org//wikipedia/commons/8/84/Pseudomugil_furcatus_m_Aquarium_DG.jpg,"The Forktail blue-eye is a tiny, high-energy fish featuring brilliant blue eyes and yellow-tipped fins that it ""flicks"" constantly as it swims. They reach only about 2 inches and are perfect for 15-to-20-gallon nano-tanks with moderate water flow. Their temperament is peaceful and social, though males will engage in harmless ""sparring"" matches to show off their vibrant colors. They are highly compatible with other nano-species and are prized for adding constant movement and a splash of bright yellow to the upper levels of the tank.",23–28 degrees celsius,"The Forktail blue-eye is a tiny, high-energy fish featuring brilliant blue eyes and yellow-tipped fins that it ""flicks"" constantly as it swims. They reach only about 2 inches and are perfect for 15-to-20-gallon nano-tanks with moderate water flow. Their temperament is peaceful and social, though males will engage in harmless ""sparring"" matches to show off their vibrant colors. They are highly compatible with other nano-species and are prized for adding constant movement and a splash of bright yellow to the upper levels of the tank.",7.0 - 8.0,30 – 55 gallons,"5.0 - 6.0 cm / 2.0 - 2.4""","Peaceful; very small and delicate with unique fins; best kept in schools with other tiny, peaceful nano fish.",https://en.wikipedia.org//wiki/Pseudomugil_furcatus
Spotted blue-eye,Pseudomugil gertrudae,https://upload.wikimedia.org//wikipedia/commons/1/1a/Pseudomugil_gertrudae_ARUII_Maennchen.jpg,"The Spotted blue-eye is one of the most delicate-looking fish in the hobby, featuring intricate black spots on its fins and a shimmering, translucent body. They are native to the forest streams of Australia and New Guinea and thrive in 10-to-15-gallon tanks with soft water and plenty of mosses or fine-leafed plants. Their temperament is peaceful and reclusive; they prefer calm environments without strong currents or aggressive neighbors. They are highly compatible with freshwater shrimp and other micro-fish, making them a favorite for specialized ""botanical"" or blackwater aquascapes.",24–28 degrees celsius,"The Spotted blue-eye is one of the most delicate-looking fish in the hobby, featuring intricate black spots on its fins and a shimmering, translucent body. They are native to the forest streams of Australia and New Guinea and thrive in 10-to-15-gallon tanks with soft water and plenty of mosses or fine-leafed plants. Their temperament is peaceful and reclusive; they prefer calm environments without strong currents or aggressive neighbors. They are highly compatible with freshwater shrimp and other micro-fish, making them a favorite for specialized ""botanical"" or blackwater aquascapes.",7.0 - 8.0,20 – 30 gallons,"3.0 - 4.0 cm / 1.2 - 1.6""","Peaceful; similar to other blue-eyes, they are social and thrive in quiet, well-planted aquariums.",https://en.wikipedia.org//wiki/Pseudomugil_gertrudae
Pacific blue-eye,Pseudomugil signifer,https://upload.wikimedia.org//wikipedia/commons/3/30/052fishcropped.jpg,"The Pacific blue-eye is a hardy and adaptable species found in a wide range of habitats, including full freshwater and even brackish estuaries. They feature a silver body with yellow-to-orange fin edges and the characteristic bright blue iris common to the genus. They require at least 15 to 20 gallons and can tolerate a wide range of water conditions, making them more resilient than many other blue-eyes. Their temperament is peaceful and active, and they are highly compatible with a variety of community fish in both freshwater and low-end brackish setups.",20–26 degrees celsius,"The Pacific blue-eye is a hardy and adaptable species found in a wide range of habitats, including full freshwater and even brackish estuaries. They feature a silver body with yellow-to-orange fin edges and the characteristic bright blue iris common to the genus. They require at least 15 to 20 gallons and can tolerate a wide range of water conditions, making them more resilient than many other blue-eyes. Their temperament is peaceful and active, and they are highly compatible with a variety of community fish in both freshwater and low-end brackish setups.",6.5 - 7.5,10 – 15 gallons,"3.0 - 4.0 cm / 1.2 - 1.6""","Peaceful; a tiny, energetic species that is perfect for nano setups with other very small, gentle tankmates.",https://en.wikipedia.org//wiki/Pseudomugil_signifer
Delicate blue-eye,Pseudomugil tenellus,,"The Delicate blue-eye is a slender, honey-colored nano-fish reaching only about 1 to 1.5 inches in size. They inhabit the swampy, slow-moving coastal waters of Northern Australia and New Guinea. Their temperament is peaceful and highly social, though they are quite shy and require a well-planted 10-gallon tank to feel secure. They are highly compatible with other micro-fish and shrimp, provided the water is kept warm and well-filtered.",23–28 degrees celsius,"The Delicate blue-eye is a slender, honey-colored nano-fish reaching only about 1 to 1.5 inches in size. They inhabit the swampy, slow-moving coastal waters of Northern Australia and New Guinea. Their temperament is peaceful and highly social, though they are quite shy and require a well-planted 10-gallon tank to feel secure. They are highly compatible with other micro-fish and shrimp, provided the water is kept warm and well-filtered.",6.5 - 8.0,10 – 15 gallons,"3.0 - 4.0 cm / 1.2 - 1.6""","Peaceful; a delicate blue-eye that thrives in schools with other small, gentle community fish.",https://en.wikipedia.org//wiki/Pseudomugil_tenellus
Madagascar rainbowfish,Bedotia madagascariensis,https://upload.wikimedia.org//wikipedia/commons/f/fe/Bedotia_geayi_1.jpg,"Distinct from the Australian varieties, the Madagascar rainbowfish features a sleek, torpedo-shaped silver body with a bold black mid-lateral stripe and bright red or yellow highlights on the fins. They require at least a 30-to-40-gallon tank with moderate water flow to mimic their native river habitats. Their temperament is active and peaceful, making them excellent dither fish for medium-sized community tanks. They are highly compatible with other active schooling fish but are sensitive to poor water quality.",20–28 degrees celsius,"Distinct from the Australian varieties, the Madagascar rainbowfish features a sleek, torpedo-shaped silver body with a bold black mid-lateral stripe and bright red or yellow highlights on the fins. They require at least a 30-to-40-gallon tank with moderate water flow to mimic their native river habitats. Their temperament is active and peaceful, making them excellent dither fish for medium-sized community tanks. They are highly compatible with other active schooling fish but are sensitive to poor water quality.",6.0 - 7.5,30 – 55 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""","Peaceful; an active, large-growing rainbowfish best kept in groups with robust tankmates.",
Empire gudgeon,Hypseleotris compressa,https://upload.wikimedia.org//wikipedia/commons/7/72/Hypseleotris_compressa.jpg,"The Empire gudgeon is a true standout during the breeding season, when males transform from a plain silver to a mind-blowing display of fiery orange and jet black. They are native to Australian coastal streams and require a 30-to-40-gallon tank with plenty of hiding spots. Their temperament is peaceful toward other species but can be territorial with other males during spawning. They are unique because they are ""amphidromous,"" meaning they can live in both fresh and brackish water, and they are highly compatible with other robust schooling fish.",20–30 degrees celsius,"The Empire gudgeon is a true standout during the breeding season, when males transform from a plain silver to a mind-blowing display of fiery orange and jet black. They are native to Australian coastal streams and require a 30-to-40-gallon tank with plenty of hiding spots. Their temperament is peaceful toward other species but can be territorial with other males during spawning. They are unique because they are ""amphidromous,"" meaning they can live in both fresh and brackish water, and they are highly compatible with other robust schooling fish.",7.0 - 8.0,30 – 40 gallons,"10.0 - 12.0 cm / 3.9 - 4.7""","Semi-aggressive; males can be territorial, but they are generally compatible with other active, medium-sized fish.",
Purple sleeper gudgeon,Mogurnda mogurnda,https://upload.wikimedia.org//wikipedia/commons/f/f8/Mogurnda_mogurnda.png,"The Purple sleeper gudgeon is a stocky, bottom-dwelling species covered in a pattern of purple, red, and gold spots that resemble a galaxy of stars. They are very hardy and require at least 30 gallons with plenty of caves and rockwork to establish their territory. Their temperament is semi-aggressive and predatory; they will eat small fish or shrimp that wander too close to their hiding spot. They are compatible with larger, more active tank mates and are valued for their cryptic beauty and interesting ""sneaking"" behavior.",20–30 degrees celsius,"The Purple sleeper gudgeon is a stocky, bottom-dwelling species covered in a pattern of purple, red, and gold spots that resemble a galaxy of stars. They are very hardy and require at least 30 gallons with plenty of caves and rockwork to establish their territory. Their temperament is semi-aggressive and predatory; they will eat small fish or shrimp that wander too close to their hiding spot. They are compatible with larger, more active tank mates and are valued for their cryptic beauty and interesting ""sneaking"" behavior.",6.5 - 8.5,40 – 55 gallons,"15.0 - 20.0 cm / 5.9 - 7.9""",Semi-aggressive; a larger sleeper goby that should be kept with fish too large to be swallowed.,
Peacock gudgeon,Tateurndina ocellicauda,https://upload.wikimedia.org//wikipedia/commons/1/19/Tateurndina_ocellicauda_male_DG.jpg,"The Peacock gudgeon is a vibrant, peaceful nano-fish featuring pastel blues, reds, and yellows, with a distinct ""eye-spot"" on the tail that mimics a peacock’s feather. They reach only about 2.5 inches and are perfect for a 15-to-20-gallon planted aquarium. Their temperament is docile and social, and they are one of the few gudgeons that is truly ""community safe"" for small setups. They are highly compatible with other peaceful fish like rasboras and are famous for being easy to breed in small caves or PVC pipes.",22–26 degrees celsius,"The Peacock gudgeon is a vibrant, peaceful nano-fish featuring pastel blues, reds, and yellows, with a distinct ""eye-spot"" on the tail that mimics a peacock?s feather. They reach only about 2.5 inches and are perfect for a 15-to-20-gallon planted aquarium. Their temperament is docile and social, and they are one of the few gudgeons that is truly ""community safe"" for small setups. They are highly compatible with other peaceful fish like rasboras and are famous for being easy to breed in small caves or PVC pipes.",6.5 - 8.0,15 – 20 gallons,"5.0 - 7.0 cm / 2.0 - 2.8""","Peaceful; a small, colorful gudgeon perfect for nano-planted tanks with very calm tankmates.",https://en.wikipedia.org//wiki/Tateurndina_ocellicauda
